lighting_reading,power_reading,water_reading,gas_reading,lighting_reading_before_change,power_reading_before_change,water_reading_before_change,gas_reading_before_change,floor_id,reading_date_id,comment
14021,69195,699,528,0,0,0,0,12,6,
84033,45087,575,968,0,0,0,0,13,6,
83510,38858,1080,2183,0,0,0,0,14,6,
37982,17094,496,804,0,0,0,0,15,6,
40763,23738,152,1158,0,0,0,0,16,6,
30571,21783,291,627,0,0,0,0,17,6,
50142,33862,144,932,0,0,0,0,18,6,
43018,30067,360,26,0,0,0,0,19,6,
18779,59626,547,921,0,0,0,0,20,6,
40359,23363,210,1668,0,0,0,0,21,6,
0,0,2508,0,0,0,0,0,1,7,
141245,81529,873,0,0,0,0,0,2,7,
129447,55883,1049,0,0,0,0,0,3,7,
151601,63433,1079,0,0,0,0,0,4,7,
176919,69778,1092,0,0,0,0,0,5,7,
143612,57151,1054,0,0,0,0,0,6,7,
164883,69459,1253,0,0,0,0,0,7,7,
126596,50746,782,0,0,0,0,0,8,7,
135508,57698,1143,0,0,0,0,0,9,7,
148215,58676,1249,0,0,0,0,0,10,7,
73292,41556,937,0,0,0,0,0,11,7,
15092,69967,706,529,0,0,0,0,12,7,
84523,45589,578,968,0,0,0,0,13,7,
84612,39845,1099,2204,0,0,0,0,14,7,
37982,17094,497,804,0,0,0,0,15,7,
41336,24407,154,1158,0,0,0,0,16,7,
30986,22625,294,627,0,0,0,0,17,7,
50159,33862,144,932,0,0,0,0,18,7,
43581,30510,365,26,0,0,0,0,19,7,
19622,60230,552,922,0,0,0,0,20,7,
40681,23768,212,1669,0,0,0,0,21,7,
0,0,2556,0,0,0,0,0,1,8,
142076,82234,880,0,0,0,0,0,2,8,
130089,56519,1052,0,0,0,0,0,3,8,
152689,64195,1088,0,0,0,0,0,4,8,
177962,70467,1099,0,0,0,0,0,5,8,
144368,57763,1059,0,0,0,0,0,6,8,
166304,70673,1263,0,0,0,0,0,7,8,
127665,51538,787,0,0,0,0,0,8,8,
136399,58510,1148,0,0,0,0,0,9,8,
149220,59602,1258,0,0,0,0,0,10,8,
73608,41781,944,0,0,0,0,0,11,8,
16083,70628,712,530,0,0,0,0,12,8,
84989,46044,581,968,0,0,0,0,13,8,
85623,40592,1117,2224,0,0,0,0,14,8,
38003,17106,497,804,0,0,0,0,15,8,
41839,24921,156,1158,0,0,0,0,16,8,
31375,23324,297,627,0,0,0,0,17,8,
50168,33862,144,932,0,0,0,0,18,8,
44099,30872,371,26,0,0,0,0,19,8,
20376,60724,556,923,0,0,0,0,20,8,
40910,24020,213,1670,0,0,0,0,21,8,
0,0,2613,0,0,0,0,0,1,9,
143054,82729,887,0,0,0,0,0,2,9,
130740,56904,1056,0,0,0,0,0,3,9,
153903,64688,1099,0,0,0,0,0,4,9,
179149,70787,1106,0,0,0,0,0,5,9,
145304,58161,1065,0,0,0,0,0,6,9,
167814,71266,1273,0,0,0,0,0,7,9,
128959,52046,793,0,0,0,0,0,8,9,
137450,58947,1155,0,0,0,0,0,9,9,
150408,60041,1269,0,0,0,0,0,10,9,
73960,41986,951,0,0,0,0,0,11,9,
17051,70983,718,532,0,0,0,0,12,9,
85521,46293,584,968,0,0,0,0,13,9,
86535,40959,1135,2240,0,0,0,0,14,9,
38042,17145,498,804,0,0,0,0,15,9,
42313,25176,158,1158,0,0,0,0,16,9,
31759,23607,301,627,0,0,0,0,17,9,
50168,33862,145,932,0,0,0,0,18,9,
44575,31007,375,26,0,0,0,0,19,9,
21211,60966,561,924,0,0,0,0,20,9,
41096,24084,215,1670,0,0,0,0,21,9,
0,0,2669,0,0,0,0,0,1,10,
